Id_produit;Nom produit;Reference;Categorie principale ;Categorie;EAN;Supplier_reference;Fournisseur;Marque;Prix ;Quantite;VALEUR STOCK 
22057;ORANGE - ROCKER 15;ROCKER 15;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5060300000000;ORA-ROCKER15;HTD - High Tech Distribution;Orange;571,88;2;1143,76
33860;GR BASS - AT CUBE 500 BLK;AT CUBE 500 BLK;Amplificateurs Basses Electriques;Combos Basses;3701230000000;GR030;IMS Distribution;GR Bass;843,13;1;843,13
55552;INVADERS AMPLIFICATION - 535 BLUELEMON NAVY BLUE;535 BL NB;Amplificateurs Guitares Electriques;Têtes d'Amplis Guitares Electriques;792650000000;INV535BLNB;Filling Distribution;Invaders;843,13;1;843,13
19194;ROLAND - BLUES CUBE ARTIST212;BC-ART212B;Amplificateurs Guitares Electriques;Combos Guitares Electriques;4957050000000;BC-ART212B;Roland;Roland;829,70;1;829,70
19182;BOSS - WAZA 212;WAZA-212;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;4957050000000;WAZA-212;Roland;Boss;738,47;1;738,47
12372;PEAVEY - CLASSIC 30 112;CLASSIC 30 112;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;14367621198;621040;Adagio;Peavey;588,22;1;588,22
22547;CATALINBREAD - GALILEO;GALILEO;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;853710000000;CATGAL;Filling Distribution;Catalinbread;195,00;3;585,00
62003;BLACKSTAR - HT-20RH MKIII - Tête d'ampli 20 watts;HT-20RH MKIII;Amplificateurs Guitares Electriques;Têtes d'Amplis Guitares Electriques;845644000000;705869;Adagio;Blackstar;544,84;1;544,84
33909;GR BASS - GR 210V-4 BLK;GR 210V-4 BLK;Amplificateurs Basses Electriques;Baffles Basses;;GR078B04;IMS Distribution;GR Bass;543,13;1;543,13
35552;ELIXIR - 19105 BULK 25 MEDIUM 11-49;19105;Cordes Guitares & Basses;Cordes Guitares Electriques;;CEL 19105;Algam - Camac;Elixir;168,30;3;504,90
19190;BOSS - KATANA-ARTIST MkII;KTN-ARTMKII;Amplificateurs Guitares Electriques;Combos Guitares Electriques;4957050000000;KTN-ARTMKII;Roland;Boss;483,02;1;483,02
23012;DUNLOP - ADU DST-PACK;ADU DST-PACK;Accessoires Guitares & Basses;Sangles Guitares & Basses;;ADU DST-PACK;Algam - Camac;Dunlop;52,50;9;472,50
62005;BLACKSTAR - HT-5R MKIII - Combo a valve 5 watts;HT-5R MKIII;Amplificateurs Guitares Electriques;Combos Guitares Electriques;845644000000;705871;Adagio;Blackstar;458,06;1;458,06
12784;TRACE ELLIOT - ELF 1x10 BASS CABINET;ELF 1x10 BASS CABINET;Amplificateurs Basses Electriques;Baffles Basses;14367655582;621835;Adagio;Trace Elliot;417,83;1;417,83
7509;VOX - AC10 C1;AC10 C1;Amplificateurs Guitares Electriques;Combos Guitares Electriques;4959110000000;MVO AC10C1;Algam - Camac;Vox;381,90;1;381,90
55559;INVADERS AMPLIFICATION - CABINET 512 NAVY BLUE;CAB 512 NB;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;710497000000;INV512NB;Filling Distribution;Invaders;374,38;1;374,38
13043;ERNIE BALL - 2733 - HYBRID SLINKY COBALT 45-105 - Cordes de Basse Électrique - Jeu de 4;CEB 2733;Cordes Guitares & Basses;Cordes Basses Electriques;749699000000;CEB 2733;Algam - Gaffarel;Ernie Ball;23,10;14;323,40
25794;BLACKSTAR - ST. JAMES 212VOC BLACK;ST. JAMES 212VOC BLACK;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;845644000000;648047;Adagio;Blackstar;321,69;1;321,69
24991;TWO NOTES - TORPEDO CAPTOR X 16;TORPEDO CAPTOR X 16;Amplificateurs Guitares Electriques;Atténuateurs de puissance;3700670000000;TNTCAX16;Filling Distribution;Two notes;374,38;1;374,38
23356;MARKBASS - AMS 121;AMS 121;Amplificateurs Basses Electriques;Baffles Basses;8059310000000;4541270M13003;Mogar;Markbass;300,48;1;300,48
18821;BOSS - ACOUSTIC SINGER LIVE LT;ACS LIVE LT;Amplificateurs Guitares Acoustiques;Combos Guitares Acoustiques;4957050000000;ACS-LIVELT;Roland;Boss;299,69;1;299,69
42311;BLACKSTAR - HTV-212 MKIII;HTV-212 MKIII;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;845644000000;677360;Adagio;Blackstar;290,70;1;290,70
49613;UNIVERSAL AUDIO - UAFX LION AMP - Pédale d'amplification LION'68 série UAFX;UAFX LION AMP;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;819937000000;GPM-LION;Universal Audio;Universal Audio;280,52;1;280,52
19186;BOSS - KATANA CABINET212;KTN-CAB212;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;4957050000000;KTN-CAB212;Roland;Boss;278,87;1;278,87
15692;MARSHALL - CODE25 COMBO;CODE25;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5030460000000;MMA CODE25;Algam - Gaffarel;Marshall;137,10;2;274,20
39072;ORANGE - PPC 112 BLACK;PPC 112 BLACK;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;5060120000000;ORA-PPC-112BK;HTD - High Tech Distribution;Orange;262,50;1;262,50
22931;ASHDOWN - STUDIO 12;STUDIO 12;Amplificateurs Basses Electriques;Combos Basses;714271000000;MAS STUDIO-12;Algam - Gaffarel;Ashdown;260,80;1;260,80
